boot,corpus,point,sha,run,ms,rc,proved,failed,trivial
1787401384,chain,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,1,155042,0,975,0,2799
1787401384,chain,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,2,156088,0,975,0,2799
1787401384,chain,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,1,153248,0,975,0,2799
1787401384,chain,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,2,152605,0,975,0,2799
1787401384,chain,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,1,164880,0,975,0,2799
1787401384,chain,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,2,164578,0,975,0,2799
1787401384,chain,p11,406e50d90eb704f98322f2a2ab6de211d988c676,1,152881,0,975,0,2799
1787401384,chain,p11,406e50d90eb704f98322f2a2ab6de211d988c676,2,152282,0,975,0,2799
1787401384,chain,p12,26e4ff38647c6336f69f1df0772b495105d76abd,1,50898,0,975,0,2799
1787401384,chain,p12,26e4ff38647c6336f69f1df0772b495105d76abd,2,50817,0,975,0,2799
1787401384,chain,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,1,35812,0,975,0,2799
1787401384,chain,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,2,35740,0,975,0,2799
1787401384,chain,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,1,35497,0,975,0,2799
1787401384,chain,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,2,35537,0,975,0,2799
1787401384,chain,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,1,33428,0,975,0,2799
1787401384,chain,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,2,33718,0,975,0,2799
1787401384,chain,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,1,33329,0,975,0,2799
1787401384,chain,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,2,33408,0,975,0,2799
1787401384,chain,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,1,32620,0,975,0,2799
1787401384,chain,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,2,33149,0,975,0,2799
1787422888,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,9679,0,1500,0,300
1787422888,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,2,9787,0,1500,0,300
1787422888,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,3,9754,0,1500,0,300
1787422888,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,9610,0,1500,0,300
