boot,corpus,metric,point,sha,run,ms,rc,peak_kb
1787475254,tiny,prep,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,4,279,0,47488
1787475254,tiny,prep,p04,64f03fce29369b2878614fb136c38ae2fac4265c,4,283,0,47552
1787475254,tiny,prep,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,4,272,0,47484
1787475254,tiny,prep,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,4,304,0,48104
1787475254,tiny,prep,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,4,299,0,47552
1787475254,tiny,prep,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,4,282,0,47508
1787475254,tiny,prep,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,4,275,0,47576
1787475254,tiny,prep,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,4,277,0,47260
1787475254,tiny,prep,p11,406e50d90eb704f98322f2a2ab6de211d988c676,4,268,0,47696
1787475254,tiny,prep,p12,26e4ff38647c6336f69f1df0772b495105d76abd,4,284,0,47336
1787475254,tiny,prep,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,4,278,0,47420
1787475254,tiny,prep,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,4,286,0,48016
1787475254,tiny,prep,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,4,270,0,47680
1787475254,tiny,prep,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,4,262,0,47484
1787475254,tiny,prep,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,4,267,0,47576
1787475254,tiny,prep,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,5,275,0,47548
1787475254,tiny,prep,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,5,277,0,47656
1787475254,tiny,prep,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,5,271,0,47348
1787475254,tiny,prep,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,5,266,0,47676
1787475254,tiny,prep,p04,64f03fce29369b2878614fb136c38ae2fac4265c,5,273,0,47512
1787475254,tiny,prep,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,5,280,0,47284
1787475254,tiny,prep,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,5,271,0,47328
1787475254,tiny,prep,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,5,271,0,47272
1787475254,tiny,prep,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,5,277,0,47604
1787475254,tiny,prep,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,5,267,0,47080
1787475254,tiny,prep,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,5,272,0,47120
1787475254,tiny,prep,p11,406e50d90eb704f98322f2a2ab6de211d988c676,5,275,0,47756
1787475254,tiny,prep,p12,26e4ff38647c6336f69f1df0772b495105d76abd,5,287,0,48016
1787475254,tiny,prep,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,5,298,0,47412
1787475254,tiny,prep,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,5,278,0,47380
1787475254,tiny,prep,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,5,281,0,47536
1787475254,tiny,prep,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,5,273,0,47540
1787475254,tiny,prep,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,5,273,0,47496
1787475254,tiny,prep,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,6,281,0,47448
1787475254,tiny,prep,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,6,333,0,47708
1787475254,tiny,prep,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,6,311,0,47360
1787475254,tiny,prep,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,6,268,0,47484
1787475254,tiny,prep,p04,64f03fce29369b2878614fb136c38ae2fac4265c,6,292,0,47692
1787475254,tiny,prep,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,6,300,0,47480
1787475254,tiny,prep,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,6,288,0,47424
1787475254,tiny,prep,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,6,271,0,47472
1787475254,tiny,prep,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,6,331,0,47636
1787475254,tiny,prep,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,6,292,0,47560
1787475254,tiny,prep,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,6,276,0,47288
1787475254,tiny,prep,p11,406e50d90eb704f98322f2a2ab6de211d988c676,6,274,0,47436
1787475254,tiny,prep,p12,26e4ff38647c6336f69f1df0772b495105d76abd,6,268,0,47384
1787475254,tiny,prep,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,6,268,0,47636
1787475254,tiny,prep,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,6,278,0,47624
1787475254,tiny,prep,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,6,277,0,47332
1787475254,tiny,prep,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,6,293,0,47536
1787475254,tiny,prep,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,6,279,0,47532
1787475254,tiny,prep,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,7,289,0,47408
1787475254,tiny,prep,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,7,275,0,47804
1787475254,tiny,prep,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,7,286,0,48076
1787475254,tiny,prep,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,7,278,0,47376
1787475254,tiny,prep,p04,64f03fce29369b2878614fb136c38ae2fac4265c,7,277,0,47328
1787475254,tiny,prep,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,7,274,0,47688
1787475254,tiny,prep,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,7,278,0,47628
1787475254,tiny,prep,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,7,270,0,47640
1787475254,tiny,prep,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,7,287,0,47764
1787475254,tiny,prep,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,7,271,0,47436
1787475254,tiny,prep,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,7,314,0,47512
1787475254,tiny,prep,p11,406e50d90eb704f98322f2a2ab6de211d988c676,7,269,0,47508
1787475254,tiny,prep,p12,26e4ff38647c6336f69f1df0772b495105d76abd,7,272,0,47896
1787475254,tiny,prep,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,7,286,0,47384
1787475254,tiny,prep,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,7,301,0,47420
1787475254,tiny,prep,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,7,281,0,47540
1787475254,tiny,prep,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,7,276,0,47448
1787475254,tiny,prep,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,7,307,0,47400
1787475254,synth100,gen,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,223,0,0
1787475254,synth100,gen,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,226,0,0
1787475254,synth100,gen,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,223,0,0
1787475254,synth100,gen,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,221,0,0
1787475254,synth100,gen,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,225,0,0
1787475254,synth100,gen,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,227,0,0
1787475254,synth100,gen,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,134,0,0
1787475254,synth100,gen,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,143,0,0
