boot,corpus,point,sha,kind,idx,seconds,n
1787475254,tiny,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,open,0,0.0044,3
1787475254,tiny,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,edit,1,0.0023,3
1787475254,tiny,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,edit,2,0.0030,3
1787475254,tiny,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,edit,3,0.0022,3
1787475254,tiny,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,open,0,0.0043,3
1787475254,tiny,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,edit,1,0.0023,3
1787475254,tiny,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,edit,2,0.0030,3
1787475254,tiny,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,edit,3,0.0023,3
1787475254,tiny,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,open,0,0.0046,3
1787475254,tiny,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,edit,1,0.0025,3
1787475254,tiny,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,edit,2,0.0031,3
1787475254,tiny,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,edit,3,0.0025,3
1787475254,tiny,p11,406e50d90eb704f98322f2a2ab6de211d988c676,open,0,0.0042,3
1787475254,tiny,p11,406e50d90eb704f98322f2a2ab6de211d988c676,edit,1,0.0024,3
1787475254,tiny,p11,406e50d90eb704f98322f2a2ab6de211d988c676,edit,2,0.0030,3
1787475254,tiny,p11,406e50d90eb704f98322f2a2ab6de211d988c676,edit,3,0.0023,3
1787475254,tiny,p12,26e4ff38647c6336f69f1df0772b495105d76abd,open,0,0.0045,3
1787475254,tiny,p12,26e4ff38647c6336f69f1df0772b495105d76abd,edit,1,0.0024,3
1787475254,tiny,p12,26e4ff38647c6336f69f1df0772b495105d76abd,edit,2,0.0033,3
1787475254,tiny,p12,26e4ff38647c6336f69f1df0772b495105d76abd,edit,3,0.0026,3
1787475254,tiny,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,open,0,0.0049,3
1787475254,tiny,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,1,0.0026,3
1787475254,tiny,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,2,0.0035,3
1787475254,tiny,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,3,0.0025,3
1787475254,tiny,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,open,0,0.0046,3
1787475254,tiny,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,1,0.0024,3
1787475254,tiny,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,2,0.0032,3
1787475254,tiny,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,3,0.0024,3
1787475254,tiny,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,open,0,0.0044,3
1787475254,tiny,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,1,0.0023,3
1787475254,tiny,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,2,0.0032,3
1787475254,tiny,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,3,0.0022,3
1787475254,tiny,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,open,0,0.0045,3
1787475254,tiny,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,1,0.0026,3
1787475254,tiny,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,2,0.0034,3
1787475254,tiny,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,3,0.0023,3
1787475254,tiny,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,open,0,0.0040,3
1787475254,tiny,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,1,0.0019,3
1787475254,tiny,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,2,0.0025,3
1787475254,tiny,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,3,0.0025,3
1787475254,synth100,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,open,0,0.1770,3
1787475254,synth100,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,1,0.1822,3
1787475254,synth100,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,2,0.1791,3
1787475254,synth100,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,3,0.1823,3
1787475254,synth100,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,open,0,0.1745,3
1787475254,synth100,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,1,0.1800,3
1787475254,synth100,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,2,0.1611,3
1787475254,synth100,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,3,0.1643,3
1787475254,synth100,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,open,0,0.1751,3
1787475254,synth100,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,1,0.1624,3
1787475254,synth100,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,2,0.1715,3
1787475254,synth100,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,3,0.1746,3
1787475254,synth100,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,open,0,0.1671,3
1787475254,synth100,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,edit,1,0.1645,3
1787475254,synth100,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,edit,2,0.1629,3
1787475254,synth100,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,edit,3,0.1661,3
1787475254,synth100,p04,64f03fce29369b2878614fb136c38ae2fac4265c,open,0,0.1622,3
1787475254,synth100,p04,64f03fce29369b2878614fb136c38ae2fac4265c,edit,1,0.1554,3
1787475254,synth100,p04,64f03fce29369b2878614fb136c38ae2fac4265c,edit,2,0.1574,3
1787475254,synth100,p04,64f03fce29369b2878614fb136c38ae2fac4265c,edit,3,0.1610,3
1787475254,synth100,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,open,0,0.1692,3
1787475254,synth100,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,edit,1,0.1638,3
1787475254,synth100,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,edit,2,0.1659,3
1787475254,synth100,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,edit,3,0.1672,3
1787475254,synth100,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,open,0,0.0915,3
1787475254,synth100,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,edit,1,0.0891,3
1787475254,synth100,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,edit,2,0.0917,3
1787475254,synth100,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,edit,3,0.0761,3
1787475254,synth100,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,open,0,0.0756,3
1787475254,synth100,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,edit,1,0.0711,3
1787475254,synth100,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,edit,2,0.0702,3
1787475254,synth100,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,edit,3,0.0762,3
1787475254,synth100,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,open,0,0.0754,3
1787475254,synth100,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,edit,1,0.0698,3
1787475254,synth100,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,edit,2,0.0691,3
1787475254,synth100,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,edit,3,0.0745,3
1787475254,synth100,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,open,0,0.0754,3
1787475254,synth100,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,edit,1,0.0726,3
1787475254,synth100,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,edit,2,0.0693,3
1787475254,synth100,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,edit,3,0.0754,3
1787475254,synth100,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,open,0,0.0750,3
1787475254,synth100,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,edit,1,0.0719,3
1787475254,synth100,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,edit,2,0.0685,3
1787475254,synth100,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,edit,3,0.0748,3
1787475254,synth100,p11,406e50d90eb704f98322f2a2ab6de211d988c676,open,0,0.0808,3
1787475254,synth100,p11,406e50d90eb704f98322f2a2ab6de211d988c676,edit,1,0.0742,3
1787475254,synth100,p11,406e50d90eb704f98322f2a2ab6de211d988c676,edit,2,0.0759,3
1787475254,synth100,p11,406e50d90eb704f98322f2a2ab6de211d988c676,edit,3,0.0772,3
1787475254,synth100,p12,26e4ff38647c6336f69f1df0772b495105d76abd,open,0,0.0791,3
1787475254,synth100,p12,26e4ff38647c6336f69f1df0772b495105d76abd,edit,1,0.0739,3
1787475254,synth100,p12,26e4ff38647c6336f69f1df0772b495105d76abd,edit,2,0.0742,3
1787475254,synth100,p12,26e4ff38647c6336f69f1df0772b495105d76abd,edit,3,0.0775,3
1787475254,synth100,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,open,0,0.0750,3
1787475254,synth100,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,1,0.0698,3
1787475254,synth100,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,2,0.0721,3
